,names,links,description
69,Bis-PEG-18 Methyl Ether Dimethyl Silane,https://incidecoder.com//ingredients/bis-peg-18-methyl-ether-dimethyl-silane,BisPEG18 Methyl Ether Dimethyl Silane is a silicone that is water dispersible as opposed to most other silicones that are usually oil dispersible It makes the skin smooth and nice emollient moisturizes helps to reduce tackiness and also has some foam boosting properties It is often used in light watery formulas to give them an extra silky feel
70,Bis-PEG/​PPG-14/​14 Dimethicone,https://incidecoder.com//ingredients/bis-peg-ppg-14-14-dimethicone,A light and silky siliconebased emulsifier that helps water and silicone oils to mix nicely together It is watersoluble and it can impart lubricity and a pleasant skin feel
71,Bisabolol,https://incidecoder.com//ingredients/bisabolol,Its one of the active parts of Chamomile that contains about 30 of bisabolol Its a clear oily fluid that is used in skincare as a nice antiinflammatory and soothing ingredient
72,Borago Officinalis Leaf Extract,https://incidecoder.com//ingredients/borago-officinalis-leaf-extract,"When it comes to borage and skincare the seed oil is the one thats usually mentioned thanks to its uniquely high gammalinolenic acid content
But the leaves are not useless either they contain great antioxidant compounds like polyphenols and flavonoids and show significant freeradical scavenging activity though much less than vitamin C and similar to the synthetic antioxidant BHT"
73,Borago Officinalis Seed Oil,https://incidecoder.com//ingredients/borago-officinalis-seed-oil,We feel that this one is a bit under the radar probably because the Borage plant is not very well known Maybe because its name isnt as cool as some others its hard to compete with kukui or baobab not to mention murumuru But let us tell you when it comes to skin care borage seed oil is one of the best oils that can happen to your skin Especially if its dry sensitive easily irritated often itchy or eczema prone So what is so special about it It is the richest known plant source of the super important essential fatty acid gammalinolenic acid GLA GLA is soothing and nourishing and can repair even severely dry and irritated skin but its pretty rare and borage contains by far the most of it 1728 Next to GLA it also contains more common fatty acids like linoleic 36 oleic 18 or palmitic acid 10 If your skin is dry and sensitive this one is totally for you
74,Boron Nitride,https://incidecoder.com//ingredients/boron-nitride,"Boron Nitride is a graphitelike crystalline material that has lightdiffusing and texture improving properties It is quite the multitasker as it can blur imperfections add an exceptional creamy feel to products and act as a mattifying agent
In powder makeup products think blushers highlighters it enhances the skin feel and improves the color payoff In lipsticks it gives a creamy feel and a better color on the lips"
75,Boswellia Serrata Extract,https://incidecoder.com//ingredients/boswellia-serrata-extract,"The extract coming from the Indian Frankincense a mediumsized tree native to India Mostly the gumresin is used that is obtained from an incision made on the trunk of the tree It contains about 3060 resin 510 fragrant essential oil and the rest is made up of polysaccharides mostly arabinose galactose xylose
The biologically most active components of the resin are boswellic acids that have antiinflammatory properties According to manufacturer info the boswellic acids rich resin extract is also a potent inhibitor of elastase an enzyme that breaks down proteins including collagen and has antiGAGase activity protecting the important natural moisturizing factors glycosaminoglycans in the skin meaning that it can help the skin to stay firm for a longer time
The reason why we did not award Boswellia Serrata Extract a goodie status is that this INCI name is not clear enough on the type of the extract It might be a boswellic acids rich antiinflammatory extract that is a goodie or it might be a fragrant essential oil rich extract used in perfumery or aromatherapy that can be a problem for sensitive skin types"
76,Buddleja Davidii Meristem Cell Culture,https://incidecoder.com//ingredients/buddleja-davidii-meristem-cell-culture,The extract of summer lilac or butterflybush in itself is a nice ingredient with some antioxidant and antiinflammatory properties and the manufacturer claims that the meristem cell culture is even betterIt contains among others verbascoside and isoverbascoside that have not only antioxidant and antiinflammatory but also photoprotective activity What’s more it has phytosterols amino acids and polysaccharides all useful for skin moisture
77,Butane,https://incidecoder.com//ingredients/butane,A colorless and odorless gas used as a propellant in cosmetic products that come in a spray form
78,Butyl Methoxydibenzoylmethane,https://incidecoder.com//ingredients/butyl-methoxydibenzoylmethane,"The famous Avobenzone It is a special snowflake as it is the only globally available chemical sunscreen agent that provides proper UVA protection in the US new generation sunscreen agents are not approved because of impossible FDA regulations It is the global gold standard of UVA protection and is the most used UVA sunscreen in the world It gives very good protection across the whole UVA range 310400 nm that is both UVA1 and UVA2 with a peak protection at 360 nm The problem with it though is that it is not photostable and degrades in the sunlight Wikipedia says that avobenzone loses 36 of its UVabsorption capacity after just one hour of sunlight yep this is one of the reasons why sunscreens have to be reapplied after a few hours
The cosmetics industry is trying to solve the problem by combining avobenzone with other UV filters that enhance its stability like octocrylene Tinosorb S or Ensulizole or by encapsulating it and while both solutions help neither is perfect Interestingly the combination of avobenzone with mineral sunscreens that is titanium dioxide and zinc oxide is not a good idea In the US it is flat out prohibited as avobenzone becomes unstable when combined with mineral sunscreens
As for safety avobenzone has a pretty good safety profile It counts as nonirritating and unlike some other chemical sunscreens it shows no estrogenic effect The maximum concentration of avobenzone permitted is 5 in the EU and 3 in the US"
79,Butylene Glycol,https://incidecoder.com//ingredients/butylene-glycol,"Butylene glycol or let’s just call it BG is a multitasking colorless syrupy liquid It’s a great pick for creating a nice feeling product BG’s main job is usually to be a solvent for the other ingredients Other tasks include helping the product to absorb faster and deeper into the skin penetration enhancer making the product spread nicely over the skin slip agent and attracting water humectant into the skin
It’s an ingredient whose safety hasn’t been questioned so far by anyone at least not that we know about BG is approved by Ecocert and is also used enthusiastically in natural products BTW it’s also a food additive"
80,Butylene/​Ethylene/​Styrene Copolymer,https://incidecoder.com//ingredients/butylene-ethylene-styrene-copolymer,A helper ingredient thats used as a gelling agent together with a hydrocarbon and its sibling EthylenePropyleneStyrene Copolymer Read more there
81,Butyloctyl Salicylate,https://incidecoder.com//ingredients/butyloctyl-salicylate,A nice multifunctional helper ingredient thats especially useful in sunscreens It can solubilize some commonly used UVfilters like Oxybenzone or Avobenzone and it can also help to increase the SPF rating of sunscreens Its also cosmetically elegant has excellent spreadability and a pleasant moisturizing skin feel Oh and according to Wikipedia it even helps to stabilize famously unstable UVAfilter Avobenzone
82,Butylphenyl Methylpropional,https://incidecoder.com//ingredients/butylphenyl-methylpropional,A common fragrance ingredient that has a nice floral scent and also goes by the name Lilial It is a known fragrance allergen and as of 1st of March 2022 it has been banned in the EU due to animal studies showing a possible link to infertility in rats so no need to panic even if you used a product before with Butylphenyl Methylpropional
83,Butyrospermum Parkii Butter,https://incidecoder.com//ingredients/butyrospermum-parkii-butter,"Unless you live under a rock you must have heard about shea butter Its probably the most hyped up natural butter in skincare today It comes from the seeds of African Shea or Karite Trees and used as a magic moisturizer and emollient
But its not only a simple emollient it regenerates and soothes the skin protects it from external factors such as UV rays or wind and is also rich in antioxidants among others vitamin A E F quercetin and epigallocatechin gallate If you are looking for rich emollient benefits more shea is hard to beat"
84,C10-30 Cholesterol/​Lanosterol Esters,https://incidecoder.com//ingredients/c10-30-cholesterol-lanosterol-esters,A clear pale yellow oillike liquid thats claimed to be similar to the lipids that are naturally in the outermost layer of the skin Its not only similar to them but it is also biomimetic meaning that it can mimic the functionality of our skin lipidsThe skin lipids play a super important role in maintaining a healthy skin barrier and keeping the skin nice and moisturized and not dry or cracked So C1030 CholesterolLanosterol Esters aka Super Sterol Liquid can do something similar it is an extremely efficient emollient that can repair even dry hands or cracked lips and it is great at maintaining a healthy skin barrierA goodie for super dry skin
85,C12-14 Pareth-12,https://incidecoder.com//ingredients/c12-14-pareth-12,An emulsifier helps oily and watery things to mix that usually comes to the formula as the buddy of the oildispersible silicone powder DimethiconeVinyl Dimethicone Crosspolymer The two together create a preemulsified waterloving version of the elastomeric silicone powder which gives products a nice silky feel and has sebum absorption capabilities
86,C12-15 Alkyl Benzoate,https://incidecoder.com//ingredients/c12-15-alkyl-benzoate,An often used emollient with a light and silky feel Its very mild to both skin and eyes and spreads nicely and easily Its often used in sunscreens as its also an excellent solvent for sunscreen agents
87,C12-20 Alkyl Glucoside,https://incidecoder.com//ingredients/c12-20-alkyl-glucoside,A 100 vegetable origin emulsifier that usually comes to the formula with its buddy called C1422 Alcohols The duo is called Montanov L and two together help to create ultrasoft light formulas
88,C13-14 Isoparaffin,https://incidecoder.com//ingredients/c13-14-isoparaffin,Its a petroleum derived emollient and thickener It often comes to the formula as part of an emulsifier thickener trio with Polyacrylamide and Laureth7 This trio is an easytouse liquid that helps to create nice nontacky gel formulas
89,C13-15 Alkane,https://incidecoder.com//ingredients/c13-15-alkane,A biodegradable emollient that gives a fresh gliding sensation and a powdery after feel It works well with all kinds of oils including natural and silicone oils
90,C14-22 Alcohols,https://incidecoder.com//ingredients/c14-22-alcohols,"A 100 vegetable origin emulsifier that usually comes to the formula with its buddy called C1220 Alkyl Glucoside The duo is tradenamed Montanov L and works as an effective oil in water emulsifier It creates ultrasoft light texture has excellent dermocompatibility and is readily biodegradable
Chemically speaking it is a mixture of fatty alcohols with 14 to 22 carbon atoms in their fatty chains"
91,C20-40 Pareth-10,https://incidecoder.com//ingredients/c20-40-pareth-10,A petrochemical derived ingredient that works as an emulsifier for heavy or difficult to disperse ingredients like waxes pigments and silicones It also makes hydroalcoholic formulas thicker and more moisturizing
92,C30-45 Alkyl Dimethicone,https://incidecoder.com//ingredients/c30-45-alkyl-dimethicone,A silicone wax that functions as a thickening agent and also gives great lubricity and skin feel
93,CI 77947,https://incidecoder.com//ingredients/ci-77947,CI 77947 is the name of Zinc Oxide on the ingredient label when it is used as a colorant
94,Caffeine,https://incidecoder.com//ingredients/caffeine,Hello our favorite molecule that helps us wake up in the morning and then keeps us going through the day As a super wellknown stimulant from coffee tea and plenty of other soft drinks Caffeine needs no introduction So we will skip right to the part where we talk about what the hell it does in soso many cosmetic productsLooking at the research we were surprised to find how versatile Caffeine is It is a small waterloving molecule with pretty good skin penetration abilties Once in the skin it has nice antioxidant properties meaning that it reduces the formation of evil free radicals and it might even be useful in preventing UVinduced skin cancers A wellknown thing about Caffeine is that it improves the microcirculation of the blood vessels Though conventional wisdom and anecdotal evidence says that this property is helpful for dark undereye circles and puffy eyes we have to mention that the doubleblind research we have found about a 3 caffeine gel concluded that the overall efficacy of the selected caffeine gel in reducing puffy eyes was not significantly different from that of its gel base But you know the proof is in the puddingAnother thing Caffeine is used for in body care products is its anticellulite effects In theory it can speed up the lipolysis process the fat burning by our cells and stimulate the draining lymph system that might lead to the improvement of cellulite But here again the evidence that it actually makes a measurable let alone visible improvement on actual human beings is limited we could find only some animal skin studies or caffeine being combined with other actives Last but not least we have to write about caffeine and hair growth The theory is that it can inhibit the activity of the 5αreductase enzyme that plays an important role in hair loss and allows a renewed growth phase of the hair We have found some recent and promising research to back this up A 2017 study compared a 02 caffeine liquid with a 5 Minoxidil an FDA approved active to treat baldness solution and found that a caffeinebased topical liquid should be considered as not inferior to minoxidil 5 solution in men with androgenetic alopecia or English translation means that the caffeine liquid was pretty much as good as the FDAapproved Minoxidil stuff Not badOverall we think that caffeine is a very versatile and biologically active ingredient Even though some of its effects are more hyped up than backed up it is still a nice to have on many ingredient lists
95,Caffeyl Glucoside,https://incidecoder.com//ingredients/caffeyl-glucoside,The watersoluble stabilized and purified version of the famous antioxidant molecule caffeic acid caffeic acid attached to the sugar molecule glucose the main phytoactive of green coffee Caffeyl Glucoside is also claimed to have a strong antiinflammatory and photoprotective effect
96,Calendula Officinalis Extract,https://incidecoder.com//ingredients/calendula-officinalis-extract,The extract coming from the popular garden plant Calendula or Marigold Its used traditionally as a skinrepairing and soothing plant extract Click here to read more at the calendula flower extract
97,Calendula Officinalis Flower Extract,https://incidecoder.com//ingredients/calendula-officinalis-flower-extract,The extract coming from the popular garden plant Calendula or Marigold According to manufacturer info its used for many centuries for its exceptional healing powers and is particularly remarkable in the treatment of wounds It contains flavonoids that give the plant antiinflammatory and antioxidant properties
98,Calophyllum Inophyllum Seed Oil,https://incidecoder.com//ingredients/calophyllum-inophyllum-seed-oil,"A greenyellowish oil coming from cool places like Tahiti Bora Bora and the island of Polynesia Similar to other more common plant oils its loaded with nourishing and moisturizing fatty acids oleic acid 3055 linoleic acid 1545 palmitic acid 520 and stearic acid 525 The special thing about Tamanu oil though is that it contains the totally unique fatty acid called calophyllic acid that is suspected to give the oil its amazing healing and regenerative properties The traditional uses of Tamanu oil range from using it for all kinds of rheumatism inflammation in joints to burns wounds skin rashes and chapped lips and modern studies do confirm the wisdom of the old Polynesians In fact the wound healing properties of Tamanu oil is so strong that it produces visible improvements even for old older than 1 year scars during a 69 week period Other than that according to manufacturer info Calophyllum Inophyllum Oil also has significant SPF boosting and antioxidant properties This latter one is probably due to its significant vitamin E content with deltatocotrienol 236mgkg being the main form in the oil
Overall Tamanu seems to be an amazing oil for skin that is in need of some regeneration and protection"
99,Calophyllum Tacamahaca Oil,https://incidecoder.com//ingredients/calophyllum-tacamahaca-oil,An oil coming from cool places like Tahiti Bora Bora and the island of Polynesia Similar to other more common plant oils its loaded with nourishing and moisturizing fatty acids oleic acid 40 linoleic acid 35 palmitic acid 15 and stearic acid 11Its unique thing is that it contains calophyllic acid that gives the oil extra healing and regenerating effects A manufacturer even claims that tamanu oil can protect small capillary vessel and is recommended for redness and rosaceaprone skin
100,Camelina Sativa Seed Oil,https://incidecoder.com//ingredients/camelina-sativa-seed-oil,The oil coming from the seeds of a flowering plant called Camelina or Gold of pleasure Similar to lots of other plant oils its loaded with nourishing and moisturizing fatty acidsWhere its not so similar to other oils is that its a very rich source 3040 of fairly rare Alphalinolenic acid aka omega3 and contains only less of the more common linoleic 1524 and oleic acids 1016 Alphalinolenic acid is a very important one with antiinflammatory properties and the lack of it can cause continuously dry skin Other than fatty acids Camelina oil also contains antioxidant vitamin E 5478mp100g as well as more than usual amounts of moisturizing cholesterol and a phytosterol called brassicasterolAll in all a goodie plant oil thats especially recommended for dry and sensitive skin types
101,Camellia Oleifera  Leaf Extract,https://incidecoder.com//ingredients/camellia-oleifera-leaf-extract,Camellia Oleifera is a type of green tea plant thats mostly known for the oil that comes from its seeds As for the leaves it has similar properties as the better known and more often used Camellia Sinensis leaves You can read all the geeky details about green tea and why its awesome by clicking here but in short it has antioxidants and antiinflammatory magic properties
102,Camellia Oleifera Seed Oil,https://incidecoder.com//ingredients/camellia-oleifera-seed-oil,"A beautiful goldenyellow oil coming from the Camellia tree Its a 5 10 meters high tree with spectacular white flowers native to Asia Its pretty common there and also used as cooking oil or salad dressing Sometimes Camellia oil is referred to as the olive oil of Asia So what can it do for the skin Similar to many other great nonfragrant plant oils its a great emollient and moisturising oil for dry skin Its light in texture absorbs fast into the skin and leaves it soft and supple It contains a bunch of goodfortheskin stuff its very rich 7085 in nourishing and moisturising fatty acid oleic acid though if you are acneprone be careful with oleic acid contains significant amount of antioxidant vitamin E 015 as well as great emollient and antioxidant squalene 23
All in all a skin goodie especially for dry skin"
103,Camellia Sinensis Leaf Extract,https://incidecoder.com//ingredients/camellia-sinensis-leaf-extract,"Green tea is one of the most researched natural ingredients The active parts are called polyphenols or more precisely catechins EGCG being the most abundant and most active catechin There can be huge quality differences between green tea extracts The good ones contain 5090 catechins and often make the product brown and give it a distinctive smell Green tea is proven to be a great antioxidant UV protectant antiinflammatory anticarcinogenic and antimicrobial Because of these awesome properties green tea is a great choice for antiaging and also for skin diseases including rosacea acne and atopic dermatitis We will tell you straight away that we are big green tea fans Drinking it and slathering it all over your face are both great ideas But as this is INCIDecoder and not a findoutwhat’shealthytodrink site we will now just focus on why you should put it on your face
Our first reason is that green tea does not only sound good but it’s super well researched According to one of our fav dermatologist dr Leslie Baumann it’s one of the most studied antioxidants A 2015 research summary paper on green tea stated that there are about 6000 research papers on the topic currently in PubMed the US National Library of Medicine research database Before we dive into what the magic powers of green tea are it’s good to know that the most useful components of the tea are called polyphenols and even more precisely catechins There are four major types the most abundant and active one the real superstar is called EGCG EpiGalloCatechin Gallate Also significant ones are ECG EpiCatechin Gallate GCG GalloCatechin Gallate and EGC EpiGallo Catechin but there are also a few more types in green tea To be able to truly judge the efficacy of a green tea product dr Baumann emphasises that it’s important to know the polyphenol content of the extract used There can be huge quality differences between various green tea extracts depending on climate season age of the leaf and how it was grown You know it’s like the tomato that you buy middle of the summer fresh from the market vs the tomato that you buy middle of the winter from a big supermarket and it was picked totally unripe on the other half of the word a while ago they taste totally different According to the 2015 research summary paper an average extract contains only 10 catechins while Dr Todorov of the fantastic smartskincarecom site writes about 25 vs only 4 in black tea Dr Leslie Baumann says in her Cosmetic Dermatology book that a good quality green tea extract should contain 5090 catechins and the highquality ones are brownish and have a characteristic odor So if you stumble upon a green a tea product that’s brown and has a distinct tealike smell that is a great sign of a quality product Ok so now you know that not all green tea extracts are made equal and which ones are the good ones Let’s see those magic powers
Great Antioxidant UV protectant The polyphenols in green tea are strong proven antioxidants That’s good because they help to protect our skin against notsonice little things called free radicals that are out there to destroy the very nice firming collagen in our skin Studies show that green tea reduces UV caused skin irritation and reddening it’s called erythema and decreases the number of sunburn cells It’s a great idea to use a green tea product in the morning under your sunscreen Anticarcinogenic This one partly comes from the antioxidant and UV protectant properties but we wanted to emphasise that green tea does not only give some “superficial” skin benefits but is truly a health protectant It can inhibit DNA damage and even activates some enzymes that help with DNA repair Thanks to this it’s very useful for preventing nonmelanoma type skin cancer So especially if your skin cancer risk factors are high fair skin skin cancer history in the family blue or green eyes past sunburns some types of moles introducing green tea into your skin care is a fantastic thing to do Antiinflammatory Inflammation is an important process that’s a biological protective response to not nice things that happen to our body However too much inflammation in our skin is not good it accelerates the aging process and it’s also behind many skin diseases acne and rosacea the most common examples The catechins in green tea are not only amazing antioxidants but they also possess magic antiinflammatory powers This makes green tea an awesome choice for sensitive rosacea or acne prone skin Antimicrobial This one is probably the least well known but green tea also shows promising antimicrobial properties against some notnice bacteria This property makes green tea even more awesome for acneprone skin We could find two promising research paper results showing that 2 green tea lotion is effective to treat mildtomoderate acne Also atopic dermatitis is a skin diseases that could be improved with the help of the green tea polyphenols So the bottom line is this green tea is a real superstar with magic powers that make it an awesome ingredient to almost everybody If you are worried about antiaging skin cancer prevention acne rosacea or atopic dermatitis it’s an excellent idea to use a highquality green tea product in your skincare routine"
104,Cananga Odorata Flower Oil,https://incidecoder.com//ingredients/cananga-odorata-flower-oil,Sweet exotic and floral it’ no surprise that Ylang Ylang is a popular essential oil It is coming from the yellow fragrant flowers of the Cananga tree native to tropical Asia and similar to other essential oils it is a chemically complex mixture with several pros and cons Unfortunately these are a bit tricky to pin down as the composition varies largely depending on where it is sourced how the oil is extracted and the grade of it that is used in the product but we’ll do our bestLet’s start with the easy stuff The main components are fragrant molecules including super common linalool 119 benzyl benzoate 210 and several others adding up to a max amount of 376 of EU sensitizers The most expensive Extra grade is the most fragrant has more benzyl acetate and cresyl methyl ether and is used in highend perfumes while the First and Second grades are less fragrant and used mainly in cosmetics Other than smelling nice and making cosmetic formulas also smell nice Ylang Ylang might have some antimicrobial and antioxidant benefits and also works as an insect repellent Its nice smell is also commonly known as being relaxing and calming also backed up by a few recent studies but it is an aromatherapy use case when inhaled so this probably does not count much skincarewise On the other hand the nice smell also means allergen fragrant components and 376 of EU sensitizers counts as quite high and the oil is considered to have high skin sensitization potential It is a good idea to avoid if your skin is sensitive
105,Candelilla Cera,https://incidecoder.com//ingredients/candelilla-cera,A vegetable wax coming from the leaves of the North Mexican candelilla shrubs Euphorbia cerifera and Euphorbia antisyphilitica Similar to other waxes it is used to stabilize products and give body to them or to keep stick type formulas solid It has a melting point around 70C and has high gloss making it a good choice for lip products
106,Candelilla/​Jojoba/​Rice Bran Polyglyceryl-3 Esters,https://incidecoder.com//ingredients/candelilla-jojoba-rice-bran-polyglyceryl-3-esters,A natural emulsifier that helps oil and water to nicely mix together It is claimed to bring a siliconefeel to natural formulations and to give an ultrasoft texture and cushion touch It is a natural wax derivative from rice bran candelilla and jojoba waxes that also has some moisturizing properties as it can retain 6 times its own weight in water forming a water cushion on the skin
107,Caprooyl Tetrapeptide-3,https://incidecoder.com//ingredients/caprooyl-tetrapeptide-3,A four amino acid biomimetic ie a molecule in nature is copied synthetically in a lab peptide that copies a growth factor that boosts the production of key components of the dermalepidermal junction the place where the top two layers of the skin meet These key components are important skinstructure giving proteins such as collagen VII laminin5 and fibronectinWhat this means in practice and according to the invivo made on people tests of the manufacturer is that Caprooyl Tetrapeptide3 might be able to reduce the appearance of fine lines and wrinkles The clinical study had 27 volunteers who used a 25 ChroNOline the diluted and trade named version of our peptide molecule cream twice a day and the researchers measured a 16 percent reduction in fine lines and wrinkles after 28 days In mature volunteers aged 5065 the improvement continued to a reduction of 27 after 56 days
108,Caprylhydroxamic Acid,https://incidecoder.com//ingredients/caprylhydroxamic-acid,"A chelating agent that helps to preserve cosmetic products by neutralizing the metal ions especially iron in the formula that usually get into there from water Its special thing is that it also acts as a biostatic and fungistatic agent and remains active even at high pH
It is often coupled with antimicrobial glycols such as propanediol to create a preservative free preservative system for cosmetic products"
109,Caprylic/​Capric Triglyceride,https://incidecoder.com//ingredients/caprylic-capric-triglyceride,A super common emollient that makes your skin feel nice and smooth It comes from coconut oil and glycerin it’s lighttextured clear odorless and nongreasy It’s a nice ingredient that just feels good on the skin is super well tolerated by every skin type and easy to formulate with No wonder it’s popular
110,Caprylic/​Capric/​Myristic/​Stearic Triglyceride,https://incidecoder.com//ingredients/caprylic-capric-myristic-stearic-triglyceride,A vegetable origin emollient that has a similar consistency to lard solid at room temperature but melts rapidly upon contact with the skin Its claimed to have great skin compatibility penetrates easily does not feel tacky or heavy on the skin and does not leave a greasy shine
111,Capryloyl Glycerin/​Sebacic Acid Copolymer,https://incidecoder.com//ingredients/capryloyl-glycerin-sebacic-acid-copolymer,The friend of Diheptyl Succinate as the duo is usually used together and is touted as a natural silicone alternative Read more there
112,Caprylyl Caprylate/​Caprate,https://incidecoder.com//ingredients/caprylyl-caprylate-caprate,A coconut or palm kernel oil derived fast spreading emollient liquid that makes your skin feel nice and smooth It is mild for sensitive skin leaves a light and dry skin feel and is readily biodegradable
113,Caprylyl Glycol,https://incidecoder.com//ingredients/caprylyl-glycol,It’s a handy multitasking ingredient that gives the skin a nice soft feel At the same time it also boosts the effectiveness of other preservatives such as the nowadays super commonly used phenoxyethanol The blend of these two caprylyl glycol phenoxyethanol is called Optiphen which not only helps to keep your cosmetics free from nasty things for a long time but also gives a good feel to the finished product Its a popular duo
114,Caprylyl Methicone,https://incidecoder.com//ingredients/caprylyl-methicone,A clear colorless low viscosity volatile does not absorb into the skin but rather evaporates from it silicone fluid that has excellent spreadability and leaves a light silky and smooth feel on the skinAccording to manufacturer info its big advantage is that its compatible both with other silicones and with natural plant oils so its a great ingredient to formulate products with goodsounding consumerpleasing vegetable oils but still maintain a cosmetically elegant nongreasy and nontacky feel
115,Capsicum Frutescens Fruit Extract,https://incidecoder.com//ingredients/capsicum-frutescens-fruit-extract,The extract of cayenne pepper that contains capsaicin According to manufacturer info it can stimulate the skin blood circulation that can be useful for anticellulite or massage products Be careful with it if your skin is sensitive because its also a skin irritant
116,Caramel,https://incidecoder.com//ingredients/caramel,The caramel in cosmetics is pretty much the same one that you know from the kitchen It is derived by controlled heat treatment of foodgrade carbohydrates sugars and works as a brown colorant
117,Carbomer,https://incidecoder.com//ingredients/carbomer,A big molecule created from repeated subunits a polymer of acrylic acid that magically converts a liquid into a nice gel formula It usually has to be neutralized with a base such as sodium hydroxide for the thickening to occur and it creates viscous clear gels that also feel nice and nontacky on the skin No wonder it is a very popular and common ingredient Typically used at 1 or less in most formulations
118,Carnosine,https://incidecoder.com//ingredients/carnosine,Though its name does not reveal it Carnosine is a peptide a small two amino acid βAlaHis one It is naturally present in high concentrations in muscle and brain tissues but the one used in cosmetic products is biomimetic meaning that it is synthetically produced in a lab to copy the natural thing A 2017 review paper on topical peptides writes about Carnosine that it is a welldocumented aqueous antioxidant with wound healing activity Other than that we can write about manufacturerdone invitro in the lab not on real people studies that show Carnosine to have antiglycation properties Glycation is the notsonice process that happens when we bombard our body with too much sugar that results in damaged body proteins and eventually in more wrinkles Also a manufacturer done in vitro study shows that carnosine might have collagenboosing magic power However the 2017 research paper also mentions that even though Carnosine is a small molecule it is water soluble and does not penetrate the skin past the top layers so we have some doubt if the collagenboosting works in real life We could find one antiaging study made on real people that mentions Carnosine but it was combined with a bunch of other antiaging actives so it is pretty much impossible to know what Carnosine did or did not One last thing to mention is that there is also a manufacturer done clinical study done on real people that shows carnosine being effective against the damages caused by infrared IR radiation source
119,Carrageenan,https://incidecoder.com//ingredients/carrageenan,A natural polysaccharide big sugar molecule coming from red edible seaweeds It is used as a helper ingredient for its gelling thickening and stabilizing properties
120,Carthamus Tinctorius Oleosomes,https://incidecoder.com//ingredients/carthamus-tinctorius-oleosomes,"In general oleosomes are tinywiny micron sized spheres that store emollient plant oils some other things In particular Safflower Oleosomes are created from safflower seeds and carry safflower seed oil and vitamin E
According to the manufacturer oleosomes work both as natural emulsifiers as well as timereleased delivery systems Oleosomes on the skin do not collapse at once but slowly and they deliver the stored emollient plant oil and vitamin E over an extended period of time giving the skin longlasting moisture"
121,Carthamus Tinctorius Seed Oil,https://incidecoder.com//ingredients/carthamus-tinctorius-seed-oil,The oil coming from the seeds of the yellow flowered safflower plant Similar to other plant oils its loaded with nourishing and moisturizing fatty acids its a high linoleic acid oil 70 and has only smaller amounts of oleic acid 11 this might be great for acneprone skin It also contains antioxidant vitamin E 44mg100g alphatocopherol
122,Cassia Alata Leaf Extract,https://incidecoder.com//ingredients/cassia-alata-leaf-extract,Candle tree is a nice plant with beautiful yellow flowers thats native to Mexico Its a medicinal tree that has very effective fungicidal properties and is used traditionally to treat fungal infections of the skin Modern studies confirm antimicrobial as well as antiinflammatory activity of the tree According to manufacturer info its even a great antiaging plant extract that gives DNA protection from UV rays and supports the natural repairing process of the skin cells
123,Cellulose,https://incidecoder.com//ingredients/cellulose,A natural polymer big molecule from repeated subunits that can be found in the cell wall of green plants It is a natural and sustainable helper ingredient that can improve the absorption of the formula and it also reduces oiliness on the skin It is also used as a sensory additive and thickening agent
124,Cellulose Gum,https://incidecoder.com//ingredients/cellulose-gum,A cellulose the big molecule found in the cell wall of green plants derivative that is used as an emulsion stabilizer and thickener
125,Centaurea Cyanus Flower Water,https://incidecoder.com//ingredients/centaurea-cyanus-flower-water,Flower distillate coming from the beautiful blue flowers commonly known as cornflower The flowers are traditionally used in European phytotherapy to treat smaller eye inflammations and contain polysaccharides mainly galacturonic acid arabinose glucose rhamnose and galactose with antiinflammatory and soothing properties
126,Centella Asiatica Extract,https://incidecoder.com//ingredients/centella-asiatica-extract,"Centella Asiatica or gotu kola as normal people call it has been used in folk medicine for hundreds of years It’s traditionally used to improve small wounds burns and scratches and it’s also a well known antiinflammatory agent for eczema
Recently science has taken an interest in Gotu Kola as well and it turns out it really has many active compounds with several benefits Just for hardcore geeks the main biologically active compounds are pentacyclic triterpenoid saponins called asiaticoside madecassoside asiatic and madecassic acid also called centellosides
One of the biological activities of the centellosides is to be able to stimulate GAGs glycosaminoglycans polysaccharides that are part of the liquidy stuff between our skin cells and especially hyaluronic acid synthesis in our skin This is probably one of the reasons why Centella Asiatica Extract has nice skin moisturizing properties that was confirmed by a 25 people four weeks study along with Centellas antiinflammatory effects
Madecassoside can also help in burn wound healing through increasing antioxidant activity and enhancing collagen synthesis Asiaticoside was shown to increase antioxidant levels on rats skin when applied at 02 Centella Asiatica also often shows up in products that try to treat cellulite or striae Of course it cannot make a miracle but it might have some effect via regulating microcirculation and normalizing the metabolism in the cells of connective tissues Bottom line Gotu Kola is a great plant ingredient with proven wound healing antiinflammatory and antioxidant properties Nice to spot on any ingredient list"
127,Cera Alba,https://incidecoder.com//ingredients/cera-alba,Its the yellow solid stuff that you probably know from beeswax candles Its a natural material produced by honey bees to build their honeycombAs for skincare its used as an emollient and thickening agent Its super common in lip balms and lipsticks
128,Ceramide AP,https://incidecoder.com//ingredients/ceramide-ap,A type of ceramide that can be found naturally in the upper layer of the skin Ceramides make up 50 of the goopy stuff thats between our skin cells and play a super important role in having a healthy skin barrier and keeping the skin hydrated We have written way more about ceramides at ceramide 1 so click here to know more
