,name,ingredient_list
949,supple moisture rich silk cream,"['water', 'glycerin', 'propanediol', 'alcohol', 'cyclopentasiloxane', 'isocetyl stearate', 'squalane (olive origin)', 'inositol (rice extract)', 'caprylic/capric triglyceride', 'sorbitan stearate', 'behenyl alcohol', 'stearic acid', 'oryza sativa (rice) germ oil', 'hydrogenated lecithin (soy origin)', 'polyglyceryl-2 triisostearate', 'batyl alcohol', 'ethylhexylglycerin', 'arginine', 'bis-behenyl/isostearyl/phytosteryl dimer dilinoleyl dimer dilinoleate', 'carbomer', 'sericin (silk extract)', 'xanthan gum', 'biosaccharide gum-1', 'sodium hyaluronate', 'panax ginseng root extract', 'royal jelly extract', 'thymus serpillum extract', 'algae extract', 'camellia sinensis (green tea) leaf extract', 'fragrance (natural)', 'phenoxyethanol']"
950,indigo soothing silk body butter,"['water', 'glycerin', 'squalane (olive origin)', 'cyclopentasiloxane', 'propanediol', 'diisostearyl malate', 'myristyl myristate', 'xylitol', 'dipentaerythrityl hexahydroxystearate', 'behenyl alcohol', 'fragrance (natural)', 'sorbitan tristearate', 'beheneth-20', 'sodium acrylate/acryloyldimethyltaurate/dimethylacrylamide crosspolymer', 'microcrystalline wax', 'dimethicone', 'ethylhexylglycerin', 'dimethicone/vinyl dimethicone crosspolymer', 'oryza sativa (rice) germ oil', 'inositol (rice extract)', 'sodium polyacrylate starch', 'calcium carbonate', 'polyglyceryl-10 myristate', 'disodium edta', 'sodium dilauramidoglutamide lysine', 'sericin (silk extract)', 'stearyl glycyrrhetinate (licorice)', 'hydrogenated lecithin (soy origin)', 'camellia sinensis (green tea) leaf extract', 'polygonum tinctorum (japanese indigo extract) leaf/stem extract', 'alcohol', 'algae extract', 'chamomilla recutita (matricaria) flower extract', 'and phenoxyethanol']"
951,indigo soothing silk hand cream,"['water', 'glycerin', 'petrolatum', 'cyclopentasiloxane', 'propanediol', 'xylitol', 'behenyl alcohol', 'diisostearyl malate', 'myristyl myristate', 'squalane (olive origin)', 'microcrystalline wax', 'fragrance (natural)', 'sodium acrylate/acryloyldimethyltaurate/dimethylacrylamide crosspolymer', 'sorbitan tristearate', 'beheneth-20', 'ethylhexylglycerin', 'oryza sativa (rice) germ oil', 'inositol (rice extract)', 'calcium carbonate', 'polyglyceryl-10 myristate', 'disodium edta', 'sodium dilauramidoglutamide lysine', 'sericin (silk extract)', 'stearyl glycyrrhetinate (licorice)', 'hydrogenated lecithin (soy origin)', 'camellia sinensis (green tea) leaf extract', 'alchohol', 'polygonum tinctorium (japanese indigo extract) leaf/stem extract', 'algae extract', 'chamomilla recutita (matricaria) flower extract', 'and phenoxyethanol']"
952,luminous deep hydration firming serum,"['water', 'glycerin', 'propanediol', 'chondrus crispus extract', 'alcohol', 'methyl gluceth-20', 'polyglyceryl-10 eicosanedioate/tetradecanedioate', 'carrageenan (algae extract)', 'fragrance (all natural)', 'inositol (rice extract)', 'polyglyceryl-10 myristate', 'titanium dioxide', 'sodium hyaluronate', 'sericin (silk extract)', 'stearyl glycyrrhetinate (licorice)', 'silica', 'hydrogenated lecithin (soy origin)', 'squalane (olive origin)', 'sodium dilauramidoglutamide lysine', 'camellia sinensis leaf (green tea) extract', 'royal jelly extract', 'algae extract', 'chamomilla recutita (matricaria) flower extract', 'gold', 'sodium bicarbonate', 'xanthan gum crosspolymer', 'ethylhexylglycerin', 'phenoxyethanol', 'butelyne glycol', 'hdi/trimethylol', 'hexyllactone crosspolymere', 'synthetic fluorphlogopite']"
953,luminous deep hydration lifting mask,"['water', 'glycerin', 'propanediol', 'methyl gluceth-20', 'alcohol', 'ppg-6-decyltetradeceth-20', 'inositol (rice extract)', 'ethylhexylglycerin', 'polyglyceryl-10 eicosanedioate/tetradecanedioate', 'polyglyceryl-10 isostearate', 'chondrus crispus (red algae) extract', 'fragrance (natural)', 'sericin (silk extract)', 'xanthan gum', 'camellia sinensis (green tea) leaf extract', 'sodium hyaluronate', 'panax ginseng root extract', 'algae extract', 'royal jelly extract', 'thymus serpillum extract', 'phenoxyethanol']"
954,luminous deep hydration revitalizing eye mask,"['water', 'glycerin', 'propanediol', 'chondrus crisrus(red algae) extract', 'methyl gluceth-20', 'camellia sinensis(green tea) leaf extract', 'algae extract', 'royal jelly extract', 'sericin(silk extract)', 'inositol(rice extract)', 'coix lacryma-jobi ma yuen seed extract', 'lonicera japonica (honeysuckle) leaf extract', 'paeonia albiflora root(peony) extract', 'dipotassium glycyrrhizate (licorice)', 'chamomilla recutita (matricaria) flower extract', 'squalane (olive origin)', 'stearyl glycyrrhetinate (licorice)', 'hydrogenated lecithin(soy origin)', 'carrageenan', 'ppg-6-decyltetradeceth-30', 'polyglyceryl-10 myristate', 'polyglyceryl-10 eicosanedioate/tetradecanedioate', 'sodium hyaluronate', 'sodium dilauramidoglutamide lysine', 'ethylhexylglycerin', 'fragrance(natural)', 'alcohol', 'phenoxyethanol']"
955,luminous dewy skin mist,"['water', 'glycerin', 'squalane (olive origin)', 'cyclopentasiloxane', 'propanediol', 'triethylhexanoin', 'polyglyceryl-2 diisostearate', 'ppg-5-ceteth-10 phosphate', 'trideceth-12', 'sodium lauroyl lactylate', 'sorbitan stearate', 'ethylhexylglycerin', 'oryza sativa (rice) germ oil', 'behenyl alcohol', 'glyceryl stearate se', 'fragrance (natural)', 'camellia japonica seed oil', 'alcohol', 'inositol (rice extract)', 'sericin (silk extract)', 'camellia sinensis (green tea) leaf extract', 'chondrus crispus (red algae) extract', 'glycyrrhiza glabra (licorice) root extract', 'zizyphus jujuba fruit extract', 'panax ginseng root extract', 'scutellaria baicalensis root extract', 'algae extract', 'royal jelly extract', 'thymus serpillum extract', 'sodium hyaluronate', 'phenoxyethanol']"
956,polished rice enzyme powder classic,"['oryza sativa (rice) powder', 'microcrystalline cellulose', 'potassium myristate', 'cellulose', 'water', 'papain (papaya extract)', 'camellia sinensis (green tea) leaf extract', 'hydrolyzed conchiolin (pearl) protein', 'oryza sativa (rice) bran', 'algae extract', 'glycerin', 'dextrin', 'potassium sorbate', 'sodium benzoate', 'alcohol', 'phenoxyethanol']"
957,polished rice enzyme powder deep,"['oryza sativa (rice) powder', 'microcrystalline cellulose', 'potassium myristate', 'cellulose', 'papain (papaya extract)', 'camellia sinensis (green tea) leaf extract', 'houttuynia cordata (dokudami) extract', 'oryza sativa (rice) bran', 'algae extract', 'glycerin', 'dextrin', 'potassium sorbate', 'sodium benzoate', 'iron oxides (cl 77492)', 'ultramarines', 'alcohol', 'phenoxyethanol']"
958,polished rice enzyme powder gentle,"['oryza sativa (rice) powder', 'microcrystalline cellulose', 'potassium myristate', 'camellia sinensis (green tea) leaf extract', 'dipotassium glycyrrhizate (licorice)', 'oryza sativa (rice) bran', 'algae extract', 'papain (papaya extract)', 'glycerin', 'dextrin', 'potassium sorbate', 'sodium benzoate', 'iron oxides (cl 77491)', 'ultramarines', 'mica', 'alcohol', 'phenoxyethanol']"
959,polished rice enzyme powder soothing,"['oryza sativa (rice) powder', 'microcrystalline cellulose', 'potassium myristate', 'polygonum tinctorium (japanese indigo) leaf/stem extract', 'indigofera tinctoria leaf extract', 'colloidal oatmeal', 'camellia sinensis (green tea) leaf extract', 'hydrolyzed conchiolin (pearl) protein', 'oryza sativa (rice) bran', 'algae extract', 'glycerin', 'potassium sorbate', 'sodium benzoate', 'calcium carbonate', 'titanium dioxide', 'tin oxide', 'mica', 'alcohol', 'phenoxyethanol']"
960,pure one step camellia cleansing oil,"['cetyl ethylhexanoate', 'oryza sativa (rice) bran oil', 'polyglyceryl-10 dioleate', 'polyglyceryl-2 sesquicaprylate', 'camellia japonica seed oil', 'glyceryl behenate/eicosadioate', 'water', 'algae extract', 'camellia sinensis (green tea) leaf extract', 'glycerin', 'ethylhexylglycerin', 'alcohol', 'fragrance (natural)', 'phenoxyethanol']"
961,radiant deep brightening serum,"['water', 'glycerin', 'propanediol', 'alcohol', 'cyclopentasiloxane', 'squalane (olive origin)', 'isocetyl stearate', 'inositol (rice extract)', 'oryza sativa (rice) germ oil', 'polyglyceryl-2 triisostearate', 'polyglyceryl-10 isostearate', 'ethylhexylglycerin', 'glyceryl stearate', 'behenyl alcohol', 'sericin (silk extract)', 'arginine', 'carbomer', 'xanthan gum', 'biosaccharide gum-1', 'sodium hyaluronate', 'zizyphus jujuba fruit extract', 'glycyrrhiza glabra (licorice) root extract', 'scutellaria baicalensis root extract', 'cetearyl alcohol', 'sodium lauroyl lactylate', 'sorbitan stearate', 'caprylic/capric triglyceride', 'hydrogenerated lecithin (soy origin)', 'algae extract', 'camellia sinensis (green tea) leaf extract', 'fragrance (natural)', 'phenoxyethanol']"
962,bio ex multi-cell energy,"['saccharomyces/rice ferment filtrate extract', 'dicaprylyl carbonate', 'alcohol denat', 'glycerin', 'butylene glycol dicaprylate/dicaprate', 'cetearyl ethylhexanoate', 'niacinamide', 'dipropylene glycol', 'pentylene glycol', 'silica', 'polyglyceryl-6 stearate', 'citrus limon (lemon) peel oil', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantium bergamia (bergamot) fruit oil', 'olea europaea (olive) fruit oil', 'pinus sylvestris leaf oil', 'salvia sclarea (clary) oil', 'aniba rosaeodora (rosewood) wood oil', 'eucalyptus globulus leaf oil', 'neopentyl glycol dicaprate', 'polyglyceryl-3 diisostearate', 'peg-32', 'beheneth-25', 'panthenol', 'sucrose polystearate', 'ammonium acryloyldimethyltaurate/vp copolymer', 'hydrogenated polyisobutene', 'polyglyceryl-6 behenate', 'sodium stearoyl glutamate', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'tromethamine', 'adenosine', 'water', 'caprylic/capric triglyceride', 'butylene glycol', 'hydrogenated lecithin', '1 2-hexanediol', 'phospholipids', 'ceramide 3', 'cholesterol', 'arginine', 'phytosterols', 'xanthan gum', 'phenoxyethanol.']"
963,changing u magic foot peeling shoes,"['ethanol', 'water', 'propylene glycol', 'lactic acid', 'urea', 'glycolic acid', 'betaine', 'isopropyl alcohol', 'peg-60 hydrogenated castor oil', 'hydroxyethyl cellulose', 'salicylic acid', 'hydroxypropyl cellulose', 'tocopheryl acetate', 'allantoin', 'disodium edta', 'menthol', 'spring water', 'nelumbo nucifera flower extract', 'rosa canina fruit oil', 'aloe barbadensis leaf extract', 'althaea rosea root extract', 'pyrus malus (apple) fruit extract', 'citrus medica limonum (lemon) fruit extract', 'vitis vinifera (grape) fruit extract', 'scutellaria baicalensis root extract', 'honey extract', 'ginkgo biloba leaf extract', 'angelica acutiloba root extract', 'paeonia albiflora root extract', 'zizyphus jujube fruit extract', 'laminaria japonica extract', 'punica granatum (pomegranate) fruit extract', 'glycyrrhiza glabra (licorice) root extract', 'artemisia vulgaris extract', 'yeast extract', 'fragrance']"
964,floria brightening cleansing oil,"['ethylhexyl palmitate', 'mineral oil', 'isopropyl myristate', 'peg-20 glyceryl triisostearate', 'peg-8 diisostearate', 'water', 'parfum', 'tocopheryl acetate', 'rosa canina fruit oil', 'saccharomyces/xylinum/black tea ferment', 'dipropylene glycol', 'sodium palmitoyl proline', 'glycerin', 'butylene glycol', 'nymphaea alba flower extract', 'hydroxyethylcellulose', 'phenoxyethanol', 'potassium sorbate', 'indole acetic acid', 'pearl powder']"
965,floria brightening peeling gel,"['water', 'glycerin', 'quaternium-60', 'propylene glycol', 'carbomer', 'dipropylene glycol', 'pearl powder', 'glacier water', 'yeast/nelumbo nucifera flower extract ferment filtrate', 'nelumbo nucifera flower extract', 'prunus mume fruit extract', 'ascorbic acid', 'butylene glycol', 'pentylene glycol', 'lactic acid', 'serine', 'sodium lactate', 'sorbitol', 'urea', 'sodium chloride', 'caprylyl glycol', '1 2-hexanediol', 'allantoin', 'citric acid', 'disodium edta', 'phenoxyethanol', 'fragrance']"
966,i'm real aloe mask - moisturizing,"['water', 'glycerin', 'glycereth-26', 'butylene glycol', 'peg/ppg-17/6 copolymer', 'bis-ethoxy diglycol succinate', 'panthenol', 'allantoin', 'peg-60 hydrogenated castor oil', 'chlorphenesin', 'carbomer', 'phenoxyethanol', 'tromethamine', 'solanum lycopersicum (tomato) fruit extract', '1 2-hexanediol', 'hydroxyethylcellulose', 'honey extract', 'prunus persica (peach) fruit extract', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'disodium edta', 'fragrance']"
967,i'm real avocado mask - nutrition,"['water', 'glycerin', 'butylene glycol', 'mineral oil', 'macademia ternifolia seed oil', 'allantoin', 'panthenol', 'polysorbate 80', 'xanthan gum', 'sorbitan sesquioleate', 'chlorphenesin', 'carbomer', 'dimethicone', 'phenoxyethanol', 'tromenthamine', 'persea gratissima (avocado) fruit extract', '1 2-hexanediol', 'propanediol', 'fragrance', 'prunus disodium edta', 'retinyl palmitate', 'thiamine hci', 'riboflavin', 'niacin', 'carnitine hci', 'pantothenic acid', 'biotin', 'folic acid', 'asorbic acid', 'tocopherol']"
968,i'm real lemon mask - brightening,"['water', 'glycerin', 'glycereth-26', 'butylene glycol', 'peg/ppg-17/6 copolymer', 'bis-ethoxy diglycol succinate', 'panthenol', 'allantoin', 'peg-60 hydrogenated castor oil', 'chlorphenesin', 'carbomer', 'phenoxyethanol', 'tromethamine', 'solanum lycopersicum (tomato) fruit extract', '1 2-hexanediol', 'hydroxyethylcellulose', 'honey extract', 'prunus persica (peach) fruit extract', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'disodium edta', 'fragrance']"
969,i'm real makgeolli mask - skin purifying,"['water', 'glycerin', 'mineral oil', 'butylene glycol', 'allantoin', 'polysorbate 80', 'sorbitan sesquioleate', 'chlorphenesin', 'carbomer', 'xanthan gum', 'dimethicone', 'phenoxyethanol', 'tromethamine', 'aspergillus/rice ferment extract', '1 2-hexanediol', 'propanediol', 'galactomyces ferment filtrate', 'fragrance', 'dipotassium glycyrrhizate', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'saccharomyces/xylinum/black tea ferment', 'disodium edta']"
970,i'm real pomegranate mask sheet - elasticity,"['water', 'glycerin', 'butylene glycol', 'peg/ppg-17/6 copolymer', 'glycereth-26', 'panthenol', 'bis-ethoxydiglycol succinate', 'allantoin', 'peg-60 hydrogenated castor oil', 'chlorphenesin', 'carbomer', 'phenoxyethanol', 'tromethamine', 'hydroxyethylcellulose', 'punica granatum fruit extract', '1 2-hexanediol', 'propanediol', 'hydrolyzed collagen', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'hydrolyzed elastin', 'disodium edta', 'fragrance']"
971,i'm real red wine mask sheet - pore care,"['water', 'glycerin', 'butylene glycol', 'peg/ppg-17/6 copolymer', 'panthenol', 'peg-60 hydrogenated castor oil', 'chlorphenesin', 'phenoxyethanol', 'xanthan gum', 'phenyl trimethicone', 'wine extract', 'carbomer', '1 2-hexanediol', 'propanediol', 'tromethamine', 'camellia japonica flower extract', 'chrysanthellum indicum extract', 'camellia sinesis leaf extract', 'melissa officinalis leaf extract', 'rosmarinus officinalis (rosemary) leaf extract', 'aspalathus linearis leaf extract', 'thymus vulgaris (thyme) flower/leaf extract', 'jasminum officinale (jasmine) flower water', 'dipotassium glycyrrhizate', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'allantoin', 'disodium edta', 'fragrance']"
972,i'm real rice mask - clear skin,"['water', 'glycerin', 'mineral oil', 'butylene glycol', 'allantoin', 'polysorbate 80', 'sorbitan sesquioleate', 'chlorophenesin', 'carbomer', 'xanthan gum', 'sodium hyaluronate', 'dimethicone', 'phenoxyethanol', 'tromethamine', 'oryza sativa (rice) extract', '1 2-hexanediol', 'propanediol', 'fragrance', 'dipotassium glycyrrhizate', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'disodium edta', 'snail secretion filerate']"
973,i'm real seaweed aqua moisture lotion,"['water', 'butylene glycol', 'sea water', 'cyclopentasiloxane', 'cyclohexasiloxane', 'ethylhexyl palmitate', 'caprylic/capric triglyceride', 'algae extract', 'pentylene glycol', 'dimethiconol', 'polysorbate 60', 'glyceryl stearate', 'peg-100 stearate', 'ammonium acryloyldimethyltaurate/vp copolymer', 'caprylyl glycol', 'tromethamine', 'argan oil polyglyceryl-6 esters', 'denatured alcohol', 'cetearyl alcohol', 'carbomer', 'xanthan gum', 'disodium edta', 'phenoxyethanol', 'fragrance']"
974,i'm real seaweed mask sheet - skin purifying,"['water', 'glycerin', 'butylene glycol', 'peg/ppg-17/6', 'copolymer', 'panthenol', 'peg-60 hydrogenated castor oil', 'chlorphenesin', 'xanthan gum', 'phenoxyethanol', 'fucsu vesiculosus extract', 'phenyl trimethicone', 'carbomer', '1 2-hexanediol', 'propanediol', 'tromethamine', 'pyrus malus (apple) fruit extract', 'glacier water', 'dipotassium glycyrrhizate', 'caprylyl glycol', 'illicium verum (anise) fruit extract', 'allantoin', 'disodium edta', 'fragrance']"
975,intense care 24k snail cream,"['snail secretion filtrate (65%)', 'butylene glycol', 'glycerin', 'propanediol', 'glycereth-26', 'niacinamide', 'methyl gluceth-20', 'cetyl ethylhexanoate', 'cyclopentasiloxane', 'water', 'polysorbate 60', 'hydrogenated polydecene', 'glyceryl stearate', 'microcrystalline wax', 'cyclohexasiloxane', 'carbomer', 'peg-100 stearate', 'tromethamine', 'ceresin', 'dimethicone 1%', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'phenoxyethanol', 'chlorphenesin', 'caprylyl glycol', 'ethylhexylglycerin', 'dimethicone', 'glyceryl polyacrylate', 'citrus medica limonum (lemon) peel oil', 'citrus unshiu fruit extract', 'adenosine', 'titanium dioxide (ci 77891)', 'panax ginseng callus culture extract', 'viscum album (mistletoe) extract', 'sasa quelpaertensis extract', 'nelumbo nucifera leaf extract', 'citrus aurantium bergamia (bergamot) fruit oil', 'disodium edta', 'mica (ci 77019)', 'morus bombycis leaf extract', 'volcanic ash', 'citrus aurantium dulcis (orange) peel oil', 'artemisia vulgaris extract', 'citrus aurantifolia (lime) oil', 'pinus sylvestris leaf oil', '1 2-hexanediol', 'gold', 'iron oxides', 'eucalyptus globulus leaf oil', 'aureobasidium pullulans ferment', 'xanthan gum', 'opuntia coccinellifera fruit extract', 'zanthoxylum piperitum fruit extract', 'pulsatilla koreana extract', 'lecithin', 'usnea barbata (lichen) extract', 'sodium hyaluronate', 'glycine soja (soybean) oil', 'sodium ascorbyl phosphate', 'acetyl heptapeptide-9', 'colloidal gold', 'rh-oligopeptide-1']"
976,intense care snail ampoule,"['snail secretion filtrate', 'glycerin', 'niacinamide', 'propanediol', 'peg-60 hydrogenated castor oil', 'hydrolyzed hyaluronic acid', 'sodium polyacrylate', 'butylene glycol', 'polyglutamic acid', 'aloe barbadensis leaf juice', 'centella asiatica extract', 'acetyl hexapeptide-8', 'rosa canina fruit oil', 'steareth-20', 'n-hydroxysuccinimide', 'palmitoyl oligopeptide', 'chrysin', 'palmitoyl tetrapeptide-7', 'imperata cylindrica root extract', 'peg-8', 'oryza sativa (rice) callus culture extract', 'camellia sinensis callus culture extract', 'leontopodium alpinum callus culture extract', 'zanthoxylum piperitum fruit extract', 'pulsatilla koreana extract', 'usnea barbata (lichen) extract', 'lecithin', 'xanthan gum', 'sodium hyaluronate', 'citrus aurantium bergamia (bergamot) fruit oil', 'citrus medica limonum (lemon) peel oil', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantifolia (lime) oil', 'pinus sylvestris leaf oil', 'eucalyptus globulus leaf oil', 'sodium ascorbyl phosphate', 'polysorbate 80', 'adenosine', 'carbomer', 'triethanolamine', 'disodium edta', 'chlorphenesin', 'phenoxyethanol', 'caprylyl glycol', 'ethylhexylglycerin', 'water']"
977,intense care snail essence,"['snail secretion filtrate', 'glycerin', 'alcohol', 'propanediol', 'sodium hyaluronate', 'niacinamide', 'water', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'cyclomethicone', 'dimethicone crosspolymer', 'dimethicone', 'phenyl trimethicone', 'cetyl ethylhexanoate', 'hydrogenated vegetable oil', 'stearic acid', 'vegetable oil', 'butylene glycol', 'aloe barbadensis leaf juice', 'centella asiatica extract', 'rosa canina fruit oil', 'oryza sativa (rice) callus culture extract', 'camellia sinensis callus culture extract', 'leontopodium alpinum callus culture extract', 'zanthoxylum piperitum fruit extract', 'pulsatilla koreana extract', 'usnea barbata (lichen) extract', 'lecithin', 'xanthan gum', 'citrus aurantium bergamia (bergamot) fruit oil', 'citrus medica limonum (lemon) peel oil', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantifolia (lime) oil', 'pinus sylvestris leaf oil', 'pinus sylvestris leaf oil', 'imperata cylindrica root extract', 'peg-8', 'steareth-20', 'n-hydroxysuccinimide', 'palmitoyl oligopeptide', 'chrysin', 'palmitoyl tetrapeptide-7', 'acetyl hexapeptide-8', 'adenosine', 'carbomer', 'triethanolamine', 'disodium edta', 'phenoxyethanol', 'chlorphenesin', 'caprylyl glycol', 'ethylhexylglycerin']"
978,intense care snail eye cream,"['snail secretion filtrate', 'glycerin', 'butylene glycol', 'niacinamide', 'cyclopentasiloxane', 'sodium acrylate/sodium acryloyldimethyl taurate copolymer', 'dimethicone', 'dimethicone/vinyl dimethicone crosspolymer', 'isohexadecane', 'polysorbate 80', 'glyceryl acrylate/acrylic acid copolymer', 'imperata cylindrica root extract', 'adenosine', 'centella asiatica extract', 'peg-8', 'hydrolyzed hyaluronic acid', 'acetyl hexapeptide-8', 'steareth-20', 'n-hydroxysuccinimide', 'palmitoyl oligopeptide', 'chrysin', 'palmitoyl tetrapeptide-7', 'citrus aurantium dulcis (orange) peel oil', 'eucalyptus globulus leaf oil', 'pinus sylvestris leaf oil', 'citrus aurantifolia (lime) oil', 'citrus medica limonum (lemon) peel oil', 'citrus aurantium bergamia (bergamot) fruit oil', 'carbomer', 'triethanolamine', 'disodium edta', 'caprylyl glycol', 'ethylhexylglycerin', 'chlorphenesin', 'phenoxyethanol']"
979,intense care snail lotion,"['snail secretion filtrate', 'glycerin', 'water', 'butylene glycol', 'cetyl ethylhexanoate', 'hydrogenated polydecene', 'niacinamide', 'butyrospermum parkii (shea butter)', 'cyclopentasiloxane', 'polysorbate 60', 'hydrogenated vegetable oil', 'macadamia ternifolia seed oil', 'cetearyl alcohol', 'cyclohexasiloxane', 'betaine', 'sorbitan stearate', 'palmitic acid', 'stearic acid', 'glyceryl stearate', 'peg-100 stearate', 'dimethicone', 'polyacrylate-13', 'polyisobutene', 'polysorbate 20', 'sorbitan isostearate', 'glyceryl acrylate/acrylic acid copolymer', 'aloe barbadensis leaf juice', 'centella asiatica extract', 'acetyl hexapeptide-8', 'rosa canina fruit oil', 'steareth-20', 'n-hydroxysuccinimide', 'palmitoyl oligopeptide', 'chrysin', 'palmitoyl tetrapeptide-7', 'imperata cylindrica root extract', 'peg-8', 'oryza sativa (rice) callus culture extract', 'camellia sinensis callus culture extract', 'leontopodium alpinum callus culture extract', 'zanthoxylum piperitum fruit extract', 'pulsatilla koreana extract', 'usnea barbata (lichen) extract', 'lecithin', 'xanthan gum', 'sodium hyaluronate', 'citrus aurantium bergamia (bergamot) fruit oil', 'citrus medica limonum (lemon) peel oil', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantifolia (lime) oil', 'pinus sylvestris leaf oil', 'eucalyptus globulus leaf oil', 'citric acid', 'adenosine', 'carbomer', 'tocopheryl acetate', 'triethanolamine', 'disodium edta', 'caprylyl glycol', 'ethylhexylglycerin', 'phenoxyethanol', 'chlorphenesin']"
980,intense care snail skin,"['snail secretion filtrate', 'water', 'glycerin', 'alcohol', 'propanediol', 'niacinamide', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'ammonium acryloyldimethyltaurate/vp copolymer', 'octyldodeceth-16', 'butylene glycol', 'aloe barbadensis leaf juice', 'centella asiatica extract', 'acetyl hexapeptide-8', 'rosa canina fruit oil', 'steareth-20', 'n-hydroxysuccinimide', 'palmitoyl oligopeptide', 'chrysin', 'palmitoyl tetrapeptide-7', 'imperata cylindrica root extract', 'peg-8', 'oryza sativa (rice) callus culture extract', 'camellia sinensis callus culture extract', 'leontopodium alpinum callus culture extract', 'zanthoxylum piperitum fruit extract', 'pulsatilla koreana extract', 'usnea barbata (lichen) extract', 'lecithin', 'xanthan gum', 'citrus aurantium bergamia (bergamot) fruit oil', 'citrus medica limonum (lemon) peel oil', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantifolia (lime) oil', 'pinus sylvestris leaf oil', 'eucalyptus globulus leaf oil', 'adenosine', 'carbomer', 'triethanolamine', 'disodium edta', 'caprylyl glycol', 'ethylhexylglycerin', 'phenoxyethanol', 'chlorphenesin']"
981,intense repair live snail cream,"['snail secretion filtrate (70%)', 'glycerin', 'hydrogenated polydecene', 'cetearyl alcohol', 'niacinamide', 'macadamia ternifolia seed oil', 'cetyl ethylhexanoate', 'glycol stearate se', 'butyrospermum parkii (shea butter)', 'octyldodecyl myristate', 'caprylic/capric triglyceride', 'sodium hyaluronate', 'limnanthes alba (meadowfoam) seed oil', 'hydrogenated vegetable oil', 'propanediol', 'glyceryl stearate', 'dimethicone', 'beeswax', 'peg-100 stearate', 'tocopheryl acetate', 'polyacrylate-13', 'laureth-23', 'stearic acid', 'hydrogenated lecithin', 'panthenol', 'polyisobutene', 'citrus medica limonum (lemon) peel oil', 'centella asiatica extract', 'imperata cylindrica root extract', 'adenosine', 'butylene glycol', 'citrus aurantium bergamia (bergamot) fruit oil', 'sorbitan isostearate', 'polysorbate 20', 'citrus aurantium dulcis (orange) peel oil', 'citrus aurantifolia (lime) oil', 'peg-8', 'pinus sylvestris leaf oil', 'eucalyptus globulus leaf oil', 'carbomer', 'disodium edta', 'ethylhexylglycerin', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol']"
982,my little pet wrinkle line patch,"['water', 'butylene glycol', 'glycerin', 'grapefruit fruit extract', 'caprylic/capric triglyceride', 'ceratonia siliqua gum', 'chondrus crispus', 'sucrose stearate', 'cetyl ethylhexanoate', 'glyceryl stearate', 'cellulose gum', 'sodium polyacrylate', 'adenosine', 'dipotassium glycyrrhizate', 'sodium hyaluronate', 'safflaower flower extract', 'rosa rugosa flower extract', 'paeonia albiflora flower extract', 'camellia sinensis leaf extract', 'paonia flbiflora root extract', 'sophora angustifolia root extract', 'honeysuckle flower extract', 'peach leaf extract', 'gingko biloba leaf extract', 'scutellaria baicalensis root extract', 'soluble collagen', 'disodium edta', 'phenoxyethanol', 'fragrance.']"
983,panda's dream eye patch,"['water', 'glycerin', 'butylene glycol', 'niacinamide', 'sorbitol', 'bambusa vulgaris water', 'bambusa vulgaris shoot extract', 'aloe barbadensis leaf juice', 'cucumis sativus fruit extract', 'erythritol', 'allantoin', 'trehalose', 'hexanediol', 'carbomer', 'triethanol amine', 'magnesium ascorbyl phosphate', 'peg-60 hydrogenated castor oil', 'xantham gum', 'phenoxyethanol', 'caprylhydroxamid acid', 'ethylhexyglycerin', 'disodium edta', 'fragrance']"
984,pure eco snail moisture gel,"['snail secretion filtrate (90%)', 'alcohol denat', 'glycerin', 'citrus unshui fruit extract', 'citrus unshui pericarp extract', 'citrus unshui peel extract', 'bacillus/citrus unshui peel extract ferment filtrate', 'sodium carbomer', 'peg-60 hydrogeneted castor oil', 'carbomer', 'tromethamine', 'sodium polyacrylate', 'citric acid', 'water', 'styrene/acrylates copolymer', 'coco-glucoside', 'benzoic acid', 'disodium edta', 'phenoxyethanol', 'chlorphenesin', 'caprylyl glycol', 'ethylhexylglycerin', 'fragrance']"
